price,image,name
"113,99$",https://pneuecolo.com/wp-content/uploads/2024/10/TS960-300x300.png,TS960 100S CLOUTABLE – P225/65R17
"99,99$",https://pneuecolo.com/wp-content/uploads/2024/10/TS960-300x300.png,TS960 90T CLOUTABLE – P205/55R16
